# Inform Sue when adding setupset or runtime directives; update eTomo column when support added; almost everything is Tmplt,,,,,,,,
Batch/Template Directives,,,,,,,,
Directives for Batch Processing and Template Files,,,,,,,,
Directive,Definition,Type,Batch,Tmplt,eTomo,Notes,Label,Choices
,,,,,,,,
Arguments to Copytomocoms,,,,,,,,
setupset.copyarg.name,Root name of data set,String,Y,,,,,
setupset.copyarg.dual,Dual-axis data set,Bool,Y,Y,SO,,Dual axis,
setupset.copyarg.montage,Data are montaged,Bool,Y,Y,SD,,Montaged,
setupset.copyarg.pixel,Pixel size of images in nanometers,Float,Y,Y,,Overrides value from scanHeader,Pixel size (nm),
setupset.copyarg.gold,Size of gold beads in nanometers,Float,Y,Y,SD,,Fiducial size (nm),
setupset.copyarg.rotation,Angle from the vertical to the tilt axis in raw images,Float,Y,Y,,Overrides value from scanHeader,Tilt axis rotation angle,
setupset.copyarg.brotation,Angle from the vertical to the tilt axis for B axis,Float,Y,Y,,Overrides value from scanHeader,,
setupset.copyarg.firstinc,First tilt angle and tilt angle increment,2 Float,Y,,,,First tilt angle & increment,
setupset.copyarg.bfirstinc,First tilt angle and tilt angle increment for B axis,2 Float,Y,,,,,
setupset.copyarg.userawtlt,Take tilt angle from a .rawtlt file for A or only axis,Bool,Y,Y,SO,,Use existing .rawtlt file,
setupset.copyarg.buserawtlt,Take tilt angle from a .rawtlt file for B axis,Bool,Y,Y,SO,,,
setupset.copyarg.extract,Extract tilt angles from data file for A or only axis,Bool,Y,Y,SO,,Extract tilt angles from data file,
setupset.copyarg.bextract,Extract tilt angles from data file for B axis,Bool,Y,Y,SO,,,
setupset.copyarg.twodir,Starting angle of bi-directional series for A or only axis,Float,Y,Y,SO,,Starting angle of bi-directional series,
setupset.copyarg.btwodir,Starting angle of bi-directional series for B axis,Float,Y,Y,SO,,,
setupset.copyarg.skip,List of views to exclude from processing for A or only axis,List,Y,,,,Views to exclude,
setupset.copyarg.bskip,List of views to exclude from processing for B axis,List,Y,,,,,
setupset.copyarg.distort,Correct image distortion with the given .idf file,File,Y,Y,SO,,Image distortion field file,
setupset.copyarg.binning,Binning of raw images,Int,Y,Y,,,Binning of raw images,
setupset.copyarg.gradient,Correct for magnification gradients using the given .mgt file,File,Y,Y,SO,,Magnification gradient file,
setupset.copyarg.focus,Focus was adjusted between frames when acquiring montage,Bool,Y,Y,SO,,Focus was adjusted between frames,
setupset.copyarg.bfocus,Focus was adjusted between montage frames for the B axis,Bool,Y,Y,SO,,,
setupset.copyarg.defocus,Defocus in nanometers (underfocus positive),Float,Y,Y,SO,,Defocus (nm),
setupset.copyarg.voltage,Microscope voltage in kV,Int,Y,Y,SO,,Microscope voltage (kV),
setupset.copyarg.Cs,Spherical aberration in mm,Float,Y,Y,SO,,Spherical aberration (mm),
setupset.copyarg.ctfnoise,Configuration file listing noise files for ctfplotter,File,Y,Y,SD,,Noise configuration file,
,,,,,,,,
Other Setup Parameters,,,,,,,,
setupset.scopeTemplate,Name of scope template file to use,String,Y,,,See notes at end,Scope template file,
setupset.systemTemplate,Name of system template file,String,Y,,,See notes at end,System template file,
setupset.userTemplate,Name of user template file,String,Y,,,See notes at end,User template file,
setupset.scanHeader,Whether to scan image file header,Bool,Y,,,eTomo batch default is 1,Scan image file header,
setupset.datasetDirectory,Full path to directory,String,Y,,,,,
,,,,,,,,
Preprocessing,,,,,,,,
runtime.Preprocessing.any.removeXrays,Run ccderaser to remove X rays,Bool,Y,Y,NE,,Remove X-rays and artifacts,
runtime.Preprocessing.any.archiveOriginal,Run archiveorig and delete original stack,Bool,Y,Y,NE,eTomo batch default is 1,Archive and delete original stack,
comparam.eraser.ccderaser.PeakCriterion,Peak criterion # of SDs,Float,Y,Y,SD,,Peak criterion (# of Sds),
comparam.eraser.ccderaser.DiffCriterion,Difference criterion # of SDs,Float,Y,Y,SD,,Difference criterion (# of Sds),
comparam.eraser.ccderaser.MaximumRadius,Maximum radius of peak area,Float,Y,Y,SD,,Maximum radius,
comparam.eraser.ccderaser.ModelFile,Manual replacement model,File,Y,Y,SO,,Manual replacement model,
comparam.eraser.ccderaser.LineObjects,Objects with lines to remove,List,Y,Y,SO,eTomo batch default is 2,Line replacement objects,
comparam.eraser.ccderaser.BoundaryObjects,Objects with contours around areas to erase,List,Y,Y,SO,eTomo batch default is 3,Contour replacement objects,
comparam.eraser.ccderaser.AllSectionObjects,Objects to erase on all sections,List,Y,Y,SO,eTomo batch default is 1-3,All-section replacement objects,
runtime.Preprocessing.any.endExcludeCriterion,Exclude views from end of tilt series with SD below nearby SD times criterion,Float,Y,Y,NE,,SD criterion for excluding high tilt views,
runtime.Preprocessing.any.darkExcludeRatio,Exclude high tilt views with region darker by this ratio than lighter regions,Float,Y,Y,NE,BRT default is 0.17 relative to light regions,Dark region ratio for excluding views,
runtime.Preprocessing.any.darkExcludeFraction,Exclude high tilt views with dark region occupying this fraction of area,Float,Y,Y,NE,BRT default is 0.33,Dark region fraction for excluding views,
,,,,,,,,
Coarse Alignment,,,,,,,,
comparam.xcorr.tiltxcorr.FilterRadius2,High frequency filter cutoff,Float,Y,Y,SD,,High frequency filter cutoff radius,
comparam.xcorr.tiltxcorr.FilterSigma2,High frequency filter falloff,Float,Y,Y,SD,,High frequency filter rolloff sigma,
comparam.xcorr.tiltxcorr.SearchMagChanges,Search for size changes at a list of views,Bool,Y,Y,SD,Useful only for bidirectional series,Search for mag change at some views,
comparam.xcorr.tiltxcorr.ExcludeCentralPeak,Exclude peak at 0 shift due to fixed pattern noise,Bool,Y,Y,SD,,Exclude central fixed noise peak,
runtime.Fiducials.any.fiducialless,Choice to use fiducialless alignment,Bool,Y,Y,SO,,Use fiducialless alignment,
comparam.prenewst.newstack.BinByFactor,Coarse aligned stack binning,Int,Y,Y,SD,,Prealigned stack binning (single-frame),
comparam.prenewst.newstack.AntialiasFilter,Filter to use for antialiased size reduction (-1 for default),Int,Y,Y,SD,,Filter for anti-aliased reduction,0: none; -1: default; 5: Lanczos 2; 6: Lanczos 3; 2: Blackman; 3: Triangle; 4: Mitchell
comparam.prenewst.newstack.ModeToOutput,0 to convert to bytes; empty not to,Int,Y,Y,SO,,0 to convert to bytes (blank not to),
comparam.preblend.blendmont.BinByFactor,Coarse aligned stack binning,Int,Y,Y,SD,,Prealigned stack binning (montage),
,,,,,,,,
Tracking Choices,,,,,,,,
runtime.Fiducials.any.trackingMethod,Choice of seed and track (0); patch track (1); or RAPTOR (2),Int,Y,Y,SD,,Tracking method,0: seed and track; 1: patch tracking; 2: RAPTOR
runtime.Fiducials.any.seedingMethod,Choice of manual (0); autofidseed (1); transferfid (2); both (3),Int,Y,Y,SD,,Seeding method,0: manual; 1: auto-seeding; 2: transferfid; 3: autoseed & transferfid
,,,,,,,,
Beadtracking,,,,,,,,
comparam.track.beadtrack.LightBeads,Whether beads are light,Bool,Y,Y,SO,,Beads are lighter than background,
comparam.track.beadtrack.LocalAreaTracking,Whether to do local,Bool,Y,Y,SD,,Do local tracking,
comparam.track.beadtrack.LocalAreaTargetSize,Size of local areas,2 Int,Y,Y,SD,,Size of local tracking areas,
comparam.track.beadtrack.SobelFilterCentering,Whether to use Sobel filter,Bool,Y,Y,SD,,Use Sobel filter centering,
comparam.track.beadtrack.KernelSigmaForSobel,Sigma for Sobel filter,Float,Y,Y,SD,Needs to be 1.5 for cryo data,Sigma for Sobel filter (>= 1.5 for cryo),
comparam.track.beadtrack.RoundsOfTracking,Number of rounds of tracking in run,Int,Y,Y,SD,eTomo batch default is 4,# of rounds of tracking,
runtime.BeadTracking.any.numberOfRuns,Number of times to run beadtrack (fiducial as seed),Int,Y,Y,NE,eTomo batch default is 2,# of runs of beadtrack,
,,,,,,,,
Auto Seed Finding,,,,,,,,
comparam.autofidseed.autofidseed.TwoSurfaces,Whether beads on 2 surfaces,Bool,Y,Y,SD,Needed only if different from tiltalign,Select beads on two surfaces,
comparam.autofidseed.autofidseed.TargetNumberOfBeads,# of beads to find,Int,Y,Y,SO,,Total beads to select,
comparam.autofidseed.autofidseed.TargetDensityOfBeads,Density of beads to find per megapixel,Float,Y,Y,SD,,Density (per 1K x 1K) to select,
runtime.SeedFinding.any.rawBoundaryModel,Model drawn on raw stack with areas to in/exclude,File,Y,,NE,,Model of areas to include or exclude,
comparam.autofidseed.autofidseed.ExcludeInsideAreas,Whether to exclude areas,Bool,Y,Y,SD,,Exclude areas inside contours,
comparam.autofidseed.autofidseed.MinGuessNumBeads,Minimum beads present per section,Int,Y,,SO,,Guess of minimum beads present,
comparam.autofidseed.autofidseed.AdjustSizes,Adjust parameters based on average bead size,Bool,Y,Y,SO,,Adjust bead size from average bead,
,,,,,,,,
RAPTOR Parameters,,,,,,,,
runtime.RAPTOR.any.useAlignedStack,Whether to use aligned stack in RAPTOR,Bool,Y,Y,SD,,Use aligned instead of raw stack,
runtime.RAPTOR.any.numberOfMarkers,Number of markers to track,Int,Y,Y,SO,,Number of beads to choose,
,,,,,,,,
Patch Tracking,,,,,,,,
comparam.xcorr_pt.tiltxcorr.SizeOfPatchesXandY,Size in X and Y of patches to track,2 Int,Y,Y,SD,,Size in X and Y of patches to track,
comparam.xcorr_pt.tiltxcorr.IterateCorrelations,Number of iterations,Int,Y,Y,SD,,Number of iterations of correlations,
comparam.xcorr_pt.tiltxcorr.FilterRadius2,Right cutoff radius for filter,Float,Y,Y,SD,,High frequency filter cutoff radius,
comparam.xcorr_pt.tiltxcorr.FilterSigma2,Sigma for Gaussian rolloff above radius2,Float,Y,Y,SD,,High frequency filter rolloff sigma,
runtime.PatchTracking.any.rawBoundaryModel,Model file drawn on raw stack with boundary contours,File,Y,,NE,,Model of areas to include,
comparam.xcorr_pt.imodchopconts.LengthOfPieces,Contour length for breaking into pieces (-1 for default),Int,Y,Y,SD,May not be entered with contourPieces,Length for breaking contours,
comparam.xcorr_pt.imodchopconts.MinimumOverlap,Overlap if breaking contours,Int,Y,Y,SD,,Overlap if breaking contours,
runtime.PatchTracking.any.contourPieces,Number of pieces to break contours into,Int,Y,,NE,May not be entered with LengthOfPieces,# of pieces to break contours into,
runtime.PatchTracking.any.adjustTiltAngles,Run again with tilt angle offset from Tiltalign,Bool,Y,Y,NE,,Run again with tilt angle offset,
,,,,,,,,
Alignment,,,,,,,,
comparam.align.tiltalign.SurfacesToAnalyze,Analyze angles for 1 or 2 surfaces,Int,Y,Y,SO,,# of surfaces for angle analysis (1 or 2),
comparam.align.tiltalign.LocalAlignments,Whether to do local alignments,Bool,Y,Y,SD,,Do local alignments,
comparam.align.tiltalign.TargetPatchSizeXandY,Target minimum size for local patches,2 Int,Y,Y,SO,,Target patch size in X and Y,
comparam.align.tiltalign.MinFidsTotalAndEachSurface,Minimum fiducials in local area,2 Int,Y,Y,SO,,Minimum fiducials (total and one side),
comparam.align.tiltalign.MagOption,Type of magnification solution (1 solve all; 3 group; 0 fix),Int,Y,Y,SO,,Type of magnification solution,0: fixed; 1: solve all; 3: grouped
comparam.align.tiltalign.TiltOption,Type of tilt angle solution (1 solve all; 5 group; 0 fix),Int,Y,Y,SO,,Type of tilt angle solution,0: fixed; 1: solve all; 5: grouped
comparam.align.tiltalign.RotOption,Type of rotation solution (1 solve all; 3 group; -1 solve one; 0 fix),Int,Y,Y,SO,,Type of rotation solution,0: fixed; -1: solve one; 1: solve all; 3: grouped
comparam.align.tiltalign.BeamTiltOption,Type of beam tilt solution (2 to search),Int,Y,Y,SD,,Type of beam tilt solution,0: fixed; 2: solve for
comparam.align.tiltalign.FixedOrInitialBeamTilt,Fixed beam tilt value or initial value for search,Float,Y,Y,SD,,Fixed or initial value of beam tilt,
comparam.align.tiltalign.RobustFitting,Whether to use robust fitting to downweight some points,Bool,Y,Y,SD,eTomo batch default is 1,Use robust fitting,
comparam.align.tiltalign.KFactorScaling,Factor that determines how many points are downweighted,Float,Y,Y,SD,,Robust factor (< 1 downweights more),
comparam.align.tiltalign.WeightWholeTracks,Apply weighting to entire contours from patch tracking,Bool,Y,Y,SO,,Weight whole patch track contours,
runtime.TiltAlignment.any.enableStretching,Allow stretching solution if bead number permits,Bool,Y,Y,NE,,Solve for distortion if enough beads,
comparam.align.tiltalign.ResidualReportCriterion,Criterion # of SDs above mean residual error to report,Float,,Y,SO,,Threshold for residual report,
runtime.RestrictAlign.any.targetMeasurementRatio,Target measurement/unknown ratio when there are few fiducials,Float,Y,Y,SD,,Target measurement ratio if restricting,
runtime.RestrictAlign.any.minMeasurementRatio,Minimum measurement/unknown ratio when there are few fiducials,Float,Y,Y,SD,,Min measurement ratio if restricting,
runtime.RestrictAlign.any.orderOfRestrictions,Ordered list of parameter restrictions when there are few fiducials,String,Y,Y,SO,,Order in which to apply restrictions,
runtime.RestrictAlign.any.skipBeamTiltWithOneRot,Whether to skip beam tilt solution when switching to one rotation,Bool,Y,Y,SO,,Skip beam tilt if switch to one rotation,
,,,,,,,,
Tomogram Positioning,,,,,,,,
runtime.Positioning.any.sampleType,Do positioning for given sample type (0 none; 1 plastic section; 2 cryo),Int,Y,Y,NE,Must currently be 1 for positioning to occur,Do tomogram positioning,0: none; 1: for plastic section; 2: for cryo-sample
runtime.Positioning.any.wholeTomogram,Whether to make a whole tomogram for positioning,Bool,Y,Y,SD,Has no effect in BRT currently,Make whole tomogram for positioning,
runtime.Positioning.any.binByFactor,Binning for whole tomogram,Int,Y,Y,SD,BRT default up to 4 to make size less than 512,Binning of whole tomogram,
runtime.Positioning.any.thickness,Thickness for samples or whole tomogram,Int,Y,Y,SD,BRT has defaults based on tomogram size,Unbinned thickness for positioning,
,,,,,,,,
Aligned Stack Choices,,,,,,,,
runtime.AlignedStack.any.correctCTF,Whether to correct CTF,Bool,Y,Y,NE,,Correct CTF,
runtime.AlignedStack.any.eraseGold,Whether to erase gold (1 for fid-based; 2 for 3d),Int,Y,Y,NE,,Gold erasing method,0: none; 1: use fiducial points; 2: find beads in 3D
runtime.AlignedStack.any.filterStack,Whether to do 2D filtering,Bool,Y,Y,NE,,Do 2D filtering,
,,,,,,,,
Aligned Stack Parameters,,,,,,,,
runtime.AlignedStack.any.linearInterpolation,Use linear interpolation,Bool,Y,Y,NES,,Use linear interpolation,
runtime.AlignedStack.any.binByFactor,Binning to apply,Int,Y,Y,SD,,Aligned stack binning/reduction,
comparam.newst.newstack.AntialiasFilter,Filter to use for antialiased size reduction,Int,Y,Y,SD,,Filter for anti-aliased reduction,0: none; -1: default; 5: Lanczos 2; 6: Lanczos 3; 2: Blackman; 3: Triangle; 4: Mitchell
runtime.AlignedStack.any.sizeInXandY,Unbinned size of output in X and Y,2 Int,Y,Y,SD,,Unbinned size of aligned stack in X & Y,
runtime.CTFplotting.any.autoFitRangeAndStep,Range and step for autofitting,2 Float,Y,Y,SO,Must be present for fitting to occur,Angle range and step for CTF fitting,
comparam.ctfplotter.ctfplotter.InvertTiltAngles,Invert the sign of the tilt angles,Bool,Y,Y,SD,,Invert sign of tilt angles for CTF fitting,
comparam.ctfplotter.ctfplotter.FrequencyRangeToFit,Starting and ending frequencies of range to fit,2 Float,Y,Y,SO,,Start & end frequencies of range to fit,
comparam.ctfplotter.ctfplotter.ExtraZerosToFit,Extent to fit past 2nd zero as multiple of interzero distance,2 Float,Y,Y,SO,,Number of zeros to fit past 2nd zero,
comparam.ctfplotter.ctfplotter.VaryExponentInFit,Vary exponent of CTF function when fitting,Bool,Y,Y,SO,,Vary exponent of CTF function in fit,
comparam.ctfplotter.ctfplotter.BaselineFittingOrder,Order for polynomial fit to flatten baseline,Bool,Y,Y,SO,,Order for baseline fitting polynomial,
comparam.ctfcorrection.ctfphaseflip.InvertTiltAngles,Invert the sign of the tilt angles,Bool,Y,Y,SD,,Invert sign of tilt angles for correction,
comparam.mtffilter.mtffilter.LowPassRadiusSigma,Radius and sigma for 2D filtering,2 Float,Y,Y,SO,,Low pass cutoff & sigma for 2D filter,
runtime.GoldErasing.any.binning,Binning to use in finding gold,Int,Y,Y,SO,,Binning to use when finding gold in 3D,
runtime.GoldErasing.any.extraDiameter,Extra pixels of diameter to erase,Float,Y,Y,NE,,Extra pixels of diameter to erase,
runtime.GoldErasing.any.thickness,Reconstruction thickness if patch or fidless alignment,Int,Y,Y,SO,,Thickness of tomogram to find gold in,
comparam.golderaser.ccderaser.ExpandCircleIterations,Iterations for expanding patches around circles,Int,Y,Y,SD,BRT default 2,Iterations to grow circular areas,
,,,,,,,,
Reconstruction,,,,,,,,
comparam.tilt.tilt.THICKNESS,Thickness for reconstruction,Int,Y,Y,SO,,Unbinned thickness of reconstruction,
runtime.Reconstruction.any.binnedThickness,Thickness in binned pixels,Int,Y,Y,NE,May not be entered with THICKNESS,Binned thickness of reconstruction,
runtime.Reconstruction.any.fallbackThickness,Unbinned thickness if computed distance non-existent or too small,Int,Y,Y,NE,May not be entered with THICKNESS or binnedThickness,Thickness if computed distance is small,
runtime.Reconstruction.any.extraThickness,Added thickness if derived from align.log or positioning,Int,Y,Y,NE,,Thickness to add to computed value,
comparam.tilt.tilt.RADIAL,Radius and sigma for 1D filter,2 Float,Y,Y,SO,,Radial filter cutoff & falloff,
comparam.tilt.tilt.LOG,Different log base or empty for no log,Float,Y,Y,SD,,Offset for taking log (empty not to),
comparam.tilt.tilt.SCALE,Scaling values to add and multiply by,2 Float,Y,Y,SO,,Density scaling factor and offset,
runtime.Reconstruction.any.useSirt,Whether to do SIRT,Bool,Y,Y,SO,,Make reconstruction with SIRT,
runtime.Reconstruction.any.doBackprojAlso,Whether to do BP in addition to SIRT,Bool,Y,Y,NE,,Do back-projection too if doing SIRT,
,,,,,,,,
SIRT Parameters,,,,,,,,
comparam.sirtsetup.sirtsetup.LeaveIterations,Iterations to leave,List,Y,Y,SD,,List of iterations to leave,
comparam.sirtsetup.sirtsetup.ScaleToInteger,Scaling to integer min/max,2 Int,Y,Y,SD,Use -20000 20000,Min & max to scale to integers,
comparam.sirtsetup.sirtsetup.RadiusAndSigma,Radius and sigma for radial filter,2 Float,Y,Y,SD,,Radial filter cutoff & falloff,
,,,,,,,,
Tomogram Combination,,,,,,,,
runtime.Combine.any.matchAtoBThickRatio,Criterion ratio of B to A thickness for matching A to B,Float,Y,Y,NE,Default 0.9; use < 0.2 to match B to A or > 5 for A to B,B/A thickness ratio for matching A to B,
runtime.Combine.any.findSecBoxSize,Box size for running Findsection on tomograms,Int,Y,Y,NE,BRT default 32,Box size for finding section extent,
runtime.Combine.any.findSecNumScales,Number of scales to analyze when running Findsection,Int,Y,Y,NE,BRT default 4,# of scales to analyze in Findsection,
runtime.Combine.any.patchSize,Starting patch size for patch correlations,String,Y,Y,,Use single letter (S M L E); avoid size (default M),Starting size for patch correlations,
runtime.Combine.any.finalPatchSize,Final size for patch correlations,String,Y,Y,,Use single letter (S M L E) or size in X-Y-Z (default E),,
runtime.Combine.any.extraTargets,Extra residual targets for final trial,String,Y,Y,,BRT default 0.4 0.45 (with a comma!),,
runtime.Combine.any.wedgeReduction,Fraction to reduce amplitudes in missing wedge regions,Float,Y,Y,,,Reduction fraction in missing wedge,
runtime.Combine.any.lowFromBothRadius,Fourier radius below which to take components from both tomograms,Float,Y,Y,,,Take data from both below radius,
runtime.Combine.any.doSIRTifBoth,1 to combine SIRT reconstructions if BP was done also,Int,Y,Y,NE,,1 to combine SIRT if BP also done,0: combine BP if both; 1: combine SIRT if both
comparam.solvematch.solvematch.MaximumResidual,Maximum error when fitting to corresponding points,Float,Y,Y,,,Max error in fit to corresponding points,
comparam.dualvolmatch.dualvolmatch.MaximumResidual,Error in fit to patch vectors that makes it fall back to preliminary transform ,Float,Y,Y,,,Max error in initial fit to patches,
comparam.patchcorr.corrsearch3d.KernelSigma,Sigma for kernel filter in patch correlations,Float,Y,Y,,BRT default 1.45,Sigma for kernel filter,
comparam.matchorwarp.matchorwarp.RefineLimit,Mean residual limit for using linear fit and transformation,Float,Y,Y,,,Mean residual limit for linear fit,
comparam.matchorwarp.matchorwarp.WarpLimits,Series of mean residual limits for Findwarp try to reach with warping,String,Y,Y,,,Mean residual limits for warping,
,,,,,,,,
Postprocessing,,,,,,,,
runtime.Trimvol.any.findSecAddThickness,Fraction or # of pixels to add to Findsection Z extent,Float,Y,Y,NE,For plastic sections only,Find thickness; add fraction or # of slices,
runtime.Trimvol.any.reorient,Reorientation in trimvol (0 none; 1 flip; 2 rotate),Int,Y,Y,NE,BRT default is 2,Reorientation to apply in Trimvol,0: None; 1: Flip Y & Z; 2: Rotate around X
runtime.Trimvol.any.thickness,Fraction or # of slices to trim thickness to,Float,Y,Y,NE,May not be entered with findSecAddThickness,Fraction or # of slices to trim to in Z,
runtime.Trimvol.any.sizeInX,Fraction or # of pixels to trim to in X,Float,Y,Y,NE,,Fraction or # of pixels to trim to in X,
runtime.Trimvol.any.sizeInY,Fraction or # of pixels to trim to in Y,Float,Y,Y,NE,,Fraction or # of pixels to trim to in Y,
runtime.Trimvol.any.scaleFromX,Fraction or # of pixels in X to use to set scaling to bytes,Float,Y,Y,NE,BRT default is 0.8,Frac or # of pixels in X for byte scaling,
runtime.Trimvol.any.scaleFromY,Fraction or # of pixels in Y to use to set scaling to bytes,Float,Y,Y,NE,BRT default is 0.8,Frac or # of pixels in Y for byte scaling,
runtime.Trimvol.any.scaleFromZ,Fraction or # of slices in Z to use to set scaling to bytes,Float,Y,Y,NE,BRT default is 0.33,Frac or # of slices in Z for byte scaling,
runtime.Trimvol.any.doAorBofDualAxis,Trim a/b.rec of dual axis set,Bool,Y,Y,NE,,Trim a/b.rec of dual axis set,
runtime.Trimvol.any.doSIRTifBoth,1 to trim SIRT or 2 to trim both if BP done also,Int,Y,Y,NE,,Which to trim if BP and SIRT exist,0: BP only; 1: SIRT only; 2: Both
runtime.NAD.any.iterations,Number of iterations for running NAD,Int,Y,Y,NE,Both iterations and Kvalue must be entered,,
runtime.NAD.any.Kvalue,K value to use when running NAD,Float,Y,Y,NE,,,
runtime.NAD.any.chunkMemoryMB,Memory available for each chunk in MB,Int,Y,Y,NE,BRT default 512,Memory available for each chunk in MB,
